state_id,district_id_2001,district_id_shp2001,Households worked (lakhs),Percent rural households worked,Person-days generated (lakhs),Person-days per household worked,Person-days per rural household,Percent SC person-days,Percent ST person-days,Percent female person-days,Average wage
6,7,607000000000000,0.06,4.923037,2.8,46.66667,2.297417,48,0,42,194.3
6,8,608000000000000,0.04,2.132742,1.57,39.25,0.8371012,44,0,38,190.67
6,9,609000000000000,0.12,6.286837,4.84,40.33334,2.535691,62,0,35,192.68
6,10,610000000000000,0.3,20.67013,12.51,41.7,8.619443,71,0,46,192.72
6,11,611000000000000,0.44,23.97886,17.91,40.70454,9.760484,59,0,38,190.86
6,12,612000000000000,0.54,23.93076,26.89,49.79629,11.91663,67,0,44,193.11
6,13,613000000000000,0.24,9.672115,9.46,39.41667,3.812425,45,0,40,190.12
6,14,614000000000000,0.06,5.108557,2.72,45.33334,2.315879,48,0,38,190.82
6,15,615000000000000,0.09,6.593262,4.51,50.11111,3.303957,42,0,44,190.95
6,16,616000000000000,0.17,11.55504,7.52,44.23529,5.111404,20,0,29,191
6,17,617000000000000,0.05,3.837328,1.74,34.8,1.33539,42,0,39,190.94
6,18,618000000000000,0.055,4.342535,3.15,49.19444,2.401243,30,0,38,190.765
6,19,619000000000000,0.045,4.276752,2.68,45.78571,2.235862,31,0,27.5,190.5
7,1,701000000000000,,,,,,,,,
7,2,702000000000000,,,,,,,,,
7,3,703000000000000,,,,,,,,,
7,4,704000000000000,,,,,,,,,
7,5,705000000000000,,,,,,,,,
7,6,706000000000000,,,,,,,,,
7,7,707000000000000,,,,,,,,,
7,8,708000000000000,,,,,,,,,
7,9,709000000000000,,,,,,,,,
8,1,801000000000000,1.09,39.07847,45.62,41.85321,16.35559,53,0,58,107.48
8,2,802000000000000,0.93,34.65468,50.4,54.19355,18.7806,46,0,65,107.11
8,3,803000000000000,1.44,58.78247,76.25,52.95139,31.12613,19,1,51,97.09
8,4,804000000000000,1.52,60.65736,79.48,52.32257,31.7257,25.5,1,56,94.765
8,5,805000000000000,0.45,14.96006,23.87,53.04445,7.935479,54,3,62,110.52
8,6,806000000000000,0.77,21.94282,27.07,35.22603,7.781075,25,19,72.5,109.19
8,7,807000000000000,0.86,21.25202,28.93,33.66265,7.12069,30.5,8,63,114.025
8,8,808000000000000,0.46,28.36355,19.88,43.21739,12.25798,26,12,46,105.54
8,9,809000000000000,0.85,35.87182,31.565,36.99268,13.34106,19.5,27.5,71,96.035
8,10,810000000000000,0.96,46.57278,37.15,38.69792,18.0227,24,26,58,103.26
